SampleID,Terephthalamide|Conc (µg/mL),TPA Monoamide|Conc (µg/mL),TPA|Conc (µg/mL),Substrate,Environment,Location,Transfer,TA_g_L,TPAMA_g_L,TPA_g_L
CONTROL TP R1 T0,ND,ND,20482.89628,Terephthalate,Control,Control,Control,0,0,20.48289628
CONTROL TP R2 T0,ND,ND,18293.18343,Terephthalate,Control,Control,Control,0,0,18.29318343
CONTROL TP R3 T0,ND,ND,19084.78259,Terephthalate,Control,Control,Control,0,0,19.08478259
S6 TP R3 T1,ND,ND,17537.90596,Terephthalate,Sediment6,Hydrocarbon Seep,T1,0,0,17.53790596
S6 TP R3 T2,ND,ND,15953.72987,Terephthalate,Sediment6,Hydrocarbon Seep,T2,0,0,15.95372987
S6 TP R3 T3,ND,ND,21892.38715,Terephthalate,Sediment6,Hydrocarbon Seep,T3,0,0,21.89238715
S6 TP R3 T4,ND,ND,9918.418797,Terephthalate,Sediment6,Hydrocarbon Seep,T4,0,0,9.918418797
S6 TP R2 T1,ND,ND,606.5087058,Terephthalate,Sediment6,Hydrocarbon Seep,T1,0,0,0.606508706
S6 TP R2 T2,ND,ND,ND,Terephthalate,Sediment6,Hydrocarbon Seep,T2,0,0,0
S6 TP R2 T3,ND,ND,16467.39814,Terephthalate,Sediment6,Hydrocarbon Seep,T3,0,0,16.46739814
S6 TP R2 T4,ND,ND,ND,Terephthalate,Sediment6,Hydrocarbon Seep,T4,0,0,0
S6 TP R1 T1,ND,ND,9.057215926,Terephthalate,Sediment6,Hydrocarbon Seep,T1,0,0,0.009057216
S6 TP R1 T2,ND,ND,ND,Terephthalate,Sediment6,Hydrocarbon Seep,T2,0,0,0
S6 TP R1 T3,ND,ND,ND,Terephthalate,Sediment6,Hydrocarbon Seep,T3,0,0,0
S6 TP R1 T4,ND,ND,ND,Terephthalate,Sediment6,Hydrocarbon Seep,T4,0,0,0
COMP TP R3 T1,ND,ND,ND,Terephthalate,Compost,Farm Compost,T1,0,0,0
COMP TP R3 T2,ND,ND,ND,Terephthalate,Compost,Farm Compost,T2,0,0,0
COMP TP R3 T3,ND,ND,ND,Terephthalate,Compost,Farm Compost,T3,0,0,0
COMP TP R3 T4,ND,ND,ND,Terephthalate,Compost,Farm Compost,T4,0,0,0
COMP TP R2 T1,ND,ND,ND,Terephthalate,Compost,Farm Compost,T1,0,0,0
COMP TP R2 T2,ND,ND,ND,Terephthalate,Compost,Farm Compost,T2,0,0,0
COMP TP R2 T3,ND,ND,ND,Terephthalate,Compost,Farm Compost,T3,0,0,0
COMP TP R2 T4,ND,ND,ND,Terephthalate,Compost,Farm Compost,T4,0,0,0
COMP TP R1 T1,ND,ND,ND,Terephthalate,Compost,Farm Compost,T1,0,0,0
COMP TP R1 T2,ND,ND,ND,Terephthalate,Compost,Farm Compost,T2,0,0,0
COMP TP R1 T3,ND,ND,ND,Terephthalate,Compost,Farm Compost,T3,0,0,0
COMP TP R1 T4,ND,ND,ND,Terephthalate,Compost,Farm Compost,T4,0,0,0
S1 TP R1 T1,ND,ND,ND,Terephthalate,Sediment1,Lake Sediment,T1,0,0,0
S1 TP R1 T2,ND,ND,ND,Terephthalate,Sediment1,Lake Sediment,T2,0,0,0
S1 TP R1 T3,ND,ND,ND,Terephthalate,Sediment1,Lake Sediment,T3,0,0,0
S1 TP R1 T4,ND,ND,7338.114628,Terephthalate,Sediment1,Lake Sediment,T4,0,0,7.338114628
S1 TP R2 T1,ND,ND,ND,Terephthalate,Sediment1,Lake Sediment,T1,0,0,0
S1 TP R2 T2,ND,ND,ND,Terephthalate,Sediment1,Lake Sediment,T2,0,0,0
S1 TP R2 T3,ND,ND,ND,Terephthalate,Sediment1,Lake Sediment,T3,0,0,0
S1 TP R2 T4,ND,ND,ND,Terephthalate,Sediment1,Lake Sediment,T4,0,0,0
S1 TP R3 T1,ND,ND,ND,Terephthalate,Sediment1,Lake Sediment,T1,0,0,0
S1 TP R3 T2,ND,ND,ND,Terephthalate,Sediment1,Lake Sediment,T2,0,0,0
S1 TP R3 T3,ND,ND,ND,Terephthalate,Sediment1,Lake Sediment,T3,0,0,0
S4 TP R1 T1,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T1,0,0,0
S4 TP R1 T2,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T2,0,0,0
S4 TP R1 T3,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T3,0,0,0
S4 TP R1 T4,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T4,0,0,0
S4 TP R2 T1,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T1,0,0,0
S4 TP R2 T2,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T2,0,0,0
S4 TP R2 T3,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T3,0,0,0
S4 TP R2 T4,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T4,0,0,0
S4 TP R3 T1,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T1,0,0,0
S4 TP R3 T2,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T2,0,0,0
S4 TP R3 T3,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T3,0,0,0
S4 TP R3 T4,ND,ND,ND,Terephthalate,Sediment4,Stream Sediment,T4,0,0,0
S3 TP R1 T1,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T1,0,0,0
S3 TP R1 T2,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T2,0,0,0
S3 TP R1 T3,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T3,0,0,0
S3 TP R1 T4,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T4,0,0,0
S3 TP R2 T1,ND,13.88417178,ND,Terephthalate,Sediment3,Shoreline Sediment,T1,0,0.013884172,0
S3 TP R2 T2,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T2,0,0,0
S3 TP R2 T3,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T3,0,0,0
S3 TP R2 T4,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T4,0,0,0
S3 TP R3 T1,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T1,0,0,0
S3 TP R3 T2,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T2,0,0,0
S3 TP R3 T3,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T3,0,0,0
S3 TP R3 T4,ND,ND,ND,Terephthalate,Sediment3,Shoreline Sediment,T4,0,0,0
C TA R1 T1,463.8258522,ND,ND,Terephthalamide,Compost,Farm Compost,T1,0.463825852,0,0
C TA R1 T2,491.5997273,ND,ND,Terephthalamide,Compost,Farm Compost,T2,0.491599727,0,0
C TA R1 T3,892.0528759,ND,ND,Terephthalamide,Compost,Farm Compost,T3,0.892052876,0,0
C TA R2 T1,719.705886,ND,ND,Terephthalamide,Compost,Farm Compost,T1,0.719705886,0,0
C TA R2 T2,984.8130597,ND,ND,Terephthalamide,Compost,Farm Compost,T2,0.98481306,0,0
C TA R2 T3,795.5148345,ND,ND,Terephthalamide,Compost,Farm Compost,T3,0.795514835,0,0
C TA R2 T4,998.728714,ND,ND,Terephthalamide,Compost,Farm Compost,T4,0.998728714,0,0
C TA R3 T1,704.1246296,ND,ND,Terephthalamide,Compost,Farm Compost,T1,0.70412463,0,0
C TA R3 T2,1064.793972,ND,ND,Terephthalamide,Compost,Farm Compost,T2,1.064793972,0,0
C TA R3 T3,202.7964312,ND,64.39740209,Terephthalamide,Compost,Farm Compost,T3,0.202796431,0,0.064397402
C TA R3 T4,ND,ND,ND,Terephthalamide,Compost,Farm Compost,T4,0,0,0
S4 TA R2A T2,ND,4.374955105,ND,Terephthalamide,Sediment4,Stream Sediment,T2,0,0.004374955,0
S4 TA R2A T3,ND,2.214577223,ND,Terephthalamide,Sediment4,Stream Sediment,T3,0,0.002214577,0
S4 TA R2 T1,ND,ND,ND,Terephthalamide,Sediment4,Stream Sediment,T1,0,0,0
S4 TA R2B T2,ND,3.53011103,ND,Terephthalamide,Sediment4,Stream Sediment,T2,0,0.003530111,0
S4 TA R2B T3,555.4593378,ND,ND,Terephthalamide,Sediment4,Stream Sediment,T3,0.555459338,0,0
S4 TA R2B T4,ND,3.206671998,ND,Terephthalamide,Sediment4,Stream Sediment,T4,0,0.003206672,0
S4 TA R3 T1,608.9230372,ND,ND,Terephthalamide,Sediment4,Stream Sediment,T1,0.608923037,0,0
S4 TA R3 T2,1031.540445,ND,ND,Terephthalamide,Sediment4,Stream Sediment,T2,1.031540445,0,0
S4 TA R3 T3,985.5813176,ND,ND,Terephthalamide,Sediment4,Stream Sediment,T3,0.985581318,0,0
S4 TA R3 T4,ND,ND,ND,Terephthalamide,Sediment4,Stream Sediment,T4,0,0,0
S6 TA R1 T1,501.7208468,ND,ND,Terephthalamide,Sediment6,Hydrocarbon Seep,T1,0.501720847,0,0
