SampleID,Environment,Sample_Type,Replicate,Substrate,Transfer
CCONR1T1,Compost,Enrichment,R1,Control,T1
CCONR1T2,Compost,Enrichment,R1,Control,T2
CCONR1T3,Compost,Enrichment,R1,Control,T3
CCONR1T4,Compost,Enrichment,R1,Control,T4
CCONR2T1,Compost,Enrichment,R2,Control,T1
CCONR2T2,Compost,Enrichment,R2,Control,T2
CCONR2T3,Compost,Enrichment,R2,Control,T3
CCONR2T4,Compost,Enrichment,R2,Control,T4
CCONR3T1,Compost,Enrichment,R3,Control,T1
CCONR3T2,Compost,Enrichment,R3,Control,T2
CCONR3T3,Compost,Enrichment,R3,Control,T3
CCONR3T4,Compost,Enrichment,R3,Control,T4
CompR1,Compost,Inocula,R1,Inocula,Inocula
CompR2,Compost,Inocula,R2,Inocula,Inocula
CompR3,Compost,Inocula,R3,Inocula,Inocula
CTAR1T1,Compost,Enrichment,R1,TA,T1
CTAR1T2,Compost,Enrichment,R1,TA,T2
CTAR1T3,Compost,Enrichment,R1,TA,T3
CTAR1T4,Compost,Enrichment,R1,TA,T4
CTAR2T1,Compost,Enrichment,R2,TA,T1
CTAR2T2,Compost,Enrichment,R2,TA,T2
CTAR2T3,Compost,Enrichment,R2,TA,T3
CTAR2T4,Compost,Enrichment,R2,TA,T4
CTAR3T1,Compost,Enrichment,R3,TA,T1
CTAR3T2,Compost,Enrichment,R3,TA,T2
CTAR3T3,Compost,Enrichment,R3,TA,T3
CTAR3T4,Compost,Enrichment,R3,TA,T4
CTPR1T1,Compost,Enrichment,R1,TPA,T1
CTPR1T2,Compost,Enrichment,R1,TPA,T2
CTPR1T3,Compost,Enrichment,R1,TPA,T3
CTPR1T4,Compost,Enrichment,R1,TPA,T4
CTPR2T1,Compost,Enrichment,R2,TPA,T1
CTPR2T2,Compost,Enrichment,R2,TPA,T2
CTPR2T3,Compost,Enrichment,R2,TPA,T3
CTPR2T4,Compost,Enrichment,R2,TPA,T4
CTPR3T1,Compost,Enrichment,R3,TPA,T1
CTPR3T2,Compost,Enrichment,R3,TPA,T2
CTPR3T3,Compost,Enrichment,R3,TPA,T3
CTPR3T4,Compost,Enrichment,R3,TPA,T4
S1CONR1T1,Sediment1,Enrichment,R1,Control,T1
S1CONR1T2,Sediment1,Enrichment,R1,Control,T2
S1CONR1T3,Sediment1,Enrichment,R1,Control,T3
S1CONR1T4,Sediment1,Enrichment,R1,Control,T4
S1CONR2T1,Sediment1,Enrichment,R2,Control,T1
S1CONR2T2,Sediment1,Enrichment,R2,Control,T2
S1CONR2T3,Sediment1,Enrichment,R2,Control,T3
S1CONR2T4,Sediment1,Enrichment,R2,Control,T4
S1CONR3T1,Sediment1,Enrichment,R3,Control,T1
S1CONR3T2,Sediment1,Enrichment,R3,Control,T2
S1CONR3T3,Sediment1,Enrichment,R3,Control,T3
S1CONR3T4,Sediment1,Enrichment,R3,Control,T4
S1R1,Sediment1,Inocula,R1,Inocula,Inocula
S1R2TPT2,Sediment1,Enrichment,R2,TPA,T2
S1R3,Sediment1,Inocula,R3,Inocula,Inocula
S1TAR1T1,Sediment1,Enrichment,R1,TA,T1
S1TAR1T3,Sediment1,Enrichment,R1,TA,T3
S1TAR1T4,Sediment1,Enrichment,R1,TA,T4
S1TAR2T1,Sediment1,Enrichment,R2,TA,T1
S1TAR2T2,Sediment1,Enrichment,R2,TA,T2
S1TAR2T3,Sediment1,Enrichment,R2,TA,T3
S1TAR2T4,Sediment1,Enrichment,R2,TA,T4
S1TAR3T1,Sediment1,Enrichment,R3,TA,T1
S1TAR3T2,Sediment1,Enrichment,R3,TA,T2
S1TAR3T3,Sediment1,Enrichment,R3,TA,T3
S1TAR3T4,Sediment1,Enrichment,R3,TA,T4
S1TPR1T1,Sediment1,Enrichment,R1,TPA,T1
S1TPR1T2,Sediment1,Enrichment,R1,TPA,T2
S1TPR1T3,Sediment1,Enrichment,R1,TPA,T3
S1TPR1T4,Sediment1,Enrichment,R1,TPA,T4
S1TPR2T1,Sediment1,Enrichment,R2,TPA,T1
S1TPR2T3,Sediment1,Enrichment,R2,TPA,T3
S1TPR2T4,Sediment1,Enrichment,R2,TPA,T4
S1TPR3T1,Sediment1,Enrichment,R3,TPA,T1
S1TPR3T2,Sediment1,Enrichment,R3,TPA,T2
