"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold","Enriched_Genus"
"1","sp1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,2434.40385106575,-3.8185834947231,0.615579012806006,-6.20323860184377,5.53128794740258e-10,1.14436201756262e-08,"Terephthalamide Enriched","Enriched","Unclassified Genus"
"2","sp2","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA,1447.13199386831,3.65305746361081,0.544945192216831,6.703531870334,2.03441298604382e-11,5.62585690101029e-10,"Terephthalamide Enriched","Enriched","Hydrogenophaga"
"3","sp3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA,927.808011399626,2.95783919871731,0.567985160802404,5.20759942837011,1.91299337304924e-07,2.67149524546326e-06,"Terephthalamide Enriched","Enriched","Hydrogenophaga"
"4","sp4","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,667.147473021488,3.40889278334198,0.533378975729843,6.39112701935329,1.64667521128221e-10,3.83263655425935e-09,"Terephthalamide Enriched","Enriched","Pseudomonas"
"5","sp5","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","rhodochrous",244.124354797612,5.89117372974933,0.514190776436906,11.4571750403076,2.16460339181296e-30,6.04573727333359e-28,"Terephthalamide Enriched","Enriched","Rhodococcus"
"6","sp6","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","yamanorum",104.721450322336,0.632108013340412,0.524192883907164,1.20586912326791,0.227867957723455,0.357748850995847,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"7","sp7","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","erythropolis",272.528876779992,0.568355228031944,0.510443375525772,1.11345401915839,0.265513485777428,0.395719939048216,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"8","sp8","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","ruber",82.0951105523856,4.15799039971288,0.518230874477263,8.02343242074688,1.02830569081538e-15,4.95182378352991e-14,"Terephthalamide Enriched","Enriched","Rhodococcus"
"9","sp9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","elkanii",553.813702172504,-2.55137565266603,0.517182469931425,-4.9332214469766,8.08843630112861e-07,9.7796548004555e-06,"Terephthalamide Enriched","Enriched","Bradyrhizobium"
"10","sp10","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","borbori",63.2187298301886,-0.26252287164785,0.510828095370745,-0.513916274431456,0.607310528693545,0.672302142941368,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"11","sp11","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum",NA,21.4042623269434,-4.35037805897719,0.420685710061614,-10.3411595757318,4.58950120602673e-25,8.54565124562178e-23,"Terephthalamide Enriched","Enriched","Noviherbaspirillum"
