"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus"
"sp1",92.7971812304718,-3.45264641459872,1.25950782592166,-2.74126634510763,0.00612028732523795,0.664051174788318,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"sp2",6.02554739125786,0.948931268107352,0.865514309870351,1.0963784853534,0.272913175243462,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"sp3",9.15641299463787,0.837364120067886,1.01708885586463,0.823294951310854,0.410340283969082,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"sp4",10.6361579774168,2.41068512037401,0.788704409445442,3.05651279681449,0.00223927921785772,0.425183141490735,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"sp5",0.941644611288758,0.929506814609412,1.25477862879975,0.740773546245781,0.458830757407567,0.998452937578405,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"sp6",8.18077635175832,2.56458234363764,1.12521740001434,2.27918830939243,0.0226558737411881,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"sp7",8.57835280087414,-0.325176930425888,0.838375768380159,-0.387865373368517,0.698115664070616,0.998452937578405,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"sp8",0.326263565062954,-0.0216248751916614,2.06357023987543,-0.0104793501930745,0.991638841306568,0.998452937578405,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"sp9",18.0831223939455,-1.24634152560985,0.650694787746359,-1.91540112058753,0.0554413683561135,0.998452937578405,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"sp10",4.37128826203509,-2.88463376233127,1.76860697276235,-1.63102023612732,0.102886049649689,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"sp11",2.44631329057901,-4.05887006858213,2.90032271134418,-1.39945463748102,0.16167669231573,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum"
