"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus"
"sp1",94.9495256439971,-4.3541565744759,1.28947255766491,-3.37669580371745,0.000733621353621351,0.0130584600944601,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"sp2",68.2381869168563,3.57680961899243,0.906206142768717,3.94701541976338,7.91314623349118e-05,0.00201220004223061,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"sp3",33.932506888362,2.86565082228702,0.962748082067081,2.97653236154393,0.00291528312733311,0.0305247292156055,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"sp4",23.4206403629842,3.42275099929897,1.13313285559603,3.02060873303209,0.00252267113050527,0.0294350950845795,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"sp5",36.5374274051563,3.02421939923923,1.29408722594699,2.33695174374831,0.0194416933867896,0.108144419464017,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"sp6",1.66687006846452,-1.99637888051784,1.51891369417902,-1.3143464886574,0.188729629435218,0.378083047204151,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"sp7",11.5131183925163,0.0771761729218709,1.07841375075575,0.0715645297250575,0.942948468846623,0.953663792356244,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"sp8",18.4906098338834,4.8651989837612,1.75377343009421,2.77413199463276,0.00553492160023169,0.049260802242062,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"sp9",14.0710050337924,-6.96260983533914,1.02382986334277,-6.80055357303844,1.04217906101196e-11,9.27539364300646e-10,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"sp10",5.59707661645137,-2.37883838290623,1.86122659675709,-1.27810250887828,0.20121328445106,0.383837236106643,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"sp11",0.0261568554755676,-0.461850296462911,2.91431148170722,-0.158476641691147,0.874081225290227,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum"
"sp12",1.17674502567357,-3.65847795306388,2.9046384406708,-1.25952955171212,0.207839123155367,0.386495280033358,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"sp13",9.88229321270993,3.38080300213472,1.64269809383912,2.05807933594999,0.0395825182755645,0.167754482215488,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"sp14",17.0173666088658,-3.14511442767914,1.22657730875408,-2.56413876665781,0.0103432182609698,0.0708112634789474,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"sp15",8.60220966548814,-0.129641055405543,1.09396857406773,-0.118505282947475,0.905667309407389,0.926487247554685,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"sp16",1.01595356052162,-3.42004090725728,1.58492348392618,-2.15785868651851,0.0309388204141423,0.14884081172209,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"sp17",1.69946603223205,-4.25467960086266,1.454851684868,-2.92447652576261,0.00345036102360351,0.0341202367889681,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Nitrobacter"
