"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus"
"sp1",0.56438327876605,0.208501851653004,1.28780135836109,0.161905289429383,0.871380437416807,0.871380437416807,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"sp2",66.0588535424352,-3.66631347716993,0.751011171398177,-4.88183613879439,1.05102577349137e-06,1.70075079710422e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"sp3",36.1679298423122,-1.99585932704842,1.0343292720264,-1.92961698080752,0.0536543132336732,0.116469118970656,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"sp4",25.2526630552628,-0.499579704398335,0.914655873988198,-0.546194168326941,0.584932474369713,0.608877078583678,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"sp5",39.0948337917479,-2.06296429521943,1.08440885721164,-1.90238606177006,0.0571207018652688,0.119617469788445,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"sp6",12.5781143516119,5.30188946083924,1.10515066079353,4.79743590528401,1.60709609871106e-06,2.04330789693263e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"sp7",9.12170327844473,-0.962663461248246,0.972866714111526,-0.989512178065832,0.322412614544868,0.36176311623073,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"sp8",18.1896097799007,-6.29983038306379,1.4293507229853,-4.40747696262128,1.04581720184107e-05,0.00010341970107095,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"sp9",5.82267896855506,5.68131961969871,0.67255556515773,8.44736095279548,2.97961411565392e-17,1.32592828146599e-15,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"sp10",2.23405656594933,0.609624950107037,1.5809196205849,0.385614133804913,0.69978246408791,0.711778734900845,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
