"","reads.in","reads.out"
"CCONR1T1_S49_L001_R1_001.fastq.gz",9967,9967
"CCONR1T2_S129_L001_R1_001.fastq.gz",28426,28426
"CCONR1T3_S161_L001_R1_001.fastq.gz",33660,33660
"CCONR1T4_S74_L001_R1_001.fastq.gz",43187,43185
"CCONR2T1_S182_L001_R1_001.fastq.gz",410,410
"CCONR2T2_S137_L001_R1_001.fastq.gz",204,204
"CCONR2T3_S73_L001_R1_001.fastq.gz",25177,25177
"CCONR2T4_S139_L001_R1_001.fastq.gz",53969,53969
"CCONR3T1_S82_L001_R1_001.fastq.gz",3853,3853
"CCONR3T2_S145_L001_R1_001.fastq.gz",1707,1707
"CCONR3T3_S151_L001_R1_001.fastq.gz",47648,47635
"CCONR3T4_S10_L001_R1_001.fastq.gz",49502,49498
"CompR1_S92_L001_R1_001.fastq.gz",45820,45819
"CompR2_S93_L001_R1_001.fastq.gz",148,148
"CompR3_S94_L001_R1_001.fastq.gz",37336,37336
"CTAR1T1_S86_L001_R1_001.fastq.gz",21491,21490
"CTAR1T2_S1_L001_R1_001.fastq.gz",64136,64132
"CTAR1T3_S25_L001_R1_001.fastq.gz",63558,63557
"CTAR1T4_S166_L001_R1_001.fastq.gz",55739,55737
"CTAR2T1_S110_L001_R1_001.fastq.gz",41314,41314
"CTAR2T2_S50_L001_R1_001.fastq.gz",48744,48729
"CTAR2T3_S60_L001_R1_001.fastq.gz",46214,46210
"CTAR2T4_S133_L001_R1_001.fastq.gz",74091,74091
"CTAR3T1_S2_L001_R1_001.fastq.gz",66403,66399
"CTAR3T2_S121_L001_R1_001.fastq.gz",220,220
"CTAR3T3_S12_L001_R1_001.fastq.gz",38341,38339
"CTAR3T4_S125_L001_R1_001.fastq.gz",73952,73950
"CTPR1T1_S175_L001_R1_001.fastq.gz",36065,36065
"CTPR1T2_S57_L001_R1_001.fastq.gz",49836,49832
"CTPR1T3_S40_L001_R1_001.fastq.gz",56659,56657
"CTPR1T4_S107_L001_R1_001.fastq.gz",37209,37209
"CTPR2T1_S167_L001_R1_001.fastq.gz",29027,29027
"CTPR2T2_S58_L001_R1_001.fastq.gz",42621,42617
"CTPR2T3_S65_L001_R1_001.fastq.gz",39893,39893
"CTPR2T4_S85_L001_R1_001.fastq.gz",75635,75632
"CTPR3T1_S55_L001_R1_001.fastq.gz",24767,24762
"CTPR3T2_S29_L001_R1_001.fastq.gz",40239,40239
"CTPR3T3_S6_L001_R1_001.fastq.gz",56214,56209
"CTPR3T4_S165_L001_R1_001.fastq.gz",57256,57256
"S1CONR1T1_S189_L001_R1_001.fastq.gz",59434,59434
"S1CONR1T2_S27_L001_R1_001.fastq.gz",53550,53549
"S1CONR1T3_S72_L001_R1_001.fastq.gz",27690,27687
"S1CONR1T4_S163_L001_R1_001.fastq.gz",66662,66661
"S1CONR2T1_S14_L001_R1_001.fastq.gz",30640,30640
"S1CONR2T2_S16_L001_R1_001.fastq.gz",52856,52856
"S1CONR2T3_S84_L001_R1_001.fastq.gz",68879,68876
"S1CONR2T4_S164_L001_R1_001.fastq.gz",37641,37641
"S1CONR3T1_S20_L001_R1_001.fastq.gz",339,339
"S1CONR3T2_S153_L001_R1_001.fastq.gz",44448,44447
"S1CONR3T3_S11_L001_R1_001.fastq.gz",40191,40188
"S1CONR3T4_S138_L001_R1_001.fastq.gz",57689,57683
"S1R1_S95_L001_R1_001.fastq.gz",178,178
"S1R2TPT2_S34_L001_R1_001.fastq.gz",40327,40326
"S1R3_S97_L001_R1_001.fastq.gz",204,204
"S1TAR1T1_S190_L001_R1_001.fastq.gz",195,195
"S1TAR1T3_S47_L001_R1_001.fastq.gz",23766,23766
"S1TAR1T4_S172_L001_R1_001.fastq.gz",52590,52588
"S1TAR2T1_S67_L001_R1_001.fastq.gz",48316,48313
"S1TAR2T2_S106_L001_R1_001.fastq.gz",43231,43230
"S1TAR2T3_S46_L001_R1_001.fastq.gz",15105,15105
"S1TAR2T4_S159_L001_R1_001.fastq.gz",901,901
"S1TAR3T1_S8_L001_R1_001.fastq.gz",85837,85836
"S1TAR3T2_S108_L001_R1_001.fastq.gz",42560,42558
"S1TAR3T3_S44_L001_R1_001.fastq.gz",29461,29458
"S1TAR3T4_S141_L001_R1_001.fastq.gz",72538,72538
"S1TPR1T1_S75_L001_R1_001.fastq.gz",21436,21435
"S1TPR1T2_S23_L001_R1_001.fastq.gz",40342,40341
"S1TPR1T3_S39_L001_R1_001.fastq.gz",53447,53445
"S1TPR1T4_S179_L001_R1_001.fastq.gz",72432,72430
"S1TPR2T1_S150_L001_R1_001.fastq.gz",44051,44044
"S1TPR2T3_S37_L001_R1_001.fastq.gz",31262,31261
"S1TPR2T4_S170_L001_R1_001.fastq.gz",42773,42764
"S1TPR3T1_S118_L001_R1_001.fastq.gz",55459,55458
"S1TPR3T2_S64_L001_R1_001.fastq.gz",70892,70891
"S1TPR3T3_S142_L001_R1_001.fastq.gz",39212,39211
"S1TPR3T4_S157_L001_R1_001.fastq.gz",61970,61968
"S3CONR1T1_S120_L001_R1_001.fastq.gz",39193,39193
"S3CONR1T2_S15_L001_R1_001.fastq.gz",46101,46100
"S3CONR1T3_S119_L001_R1_001.fastq.gz",42258,42256
"S3CONR1T4_S186_L001_R1_001.fastq.gz",81906,81899
"S3CONR2T1_S112_L001_R1_001.fastq.gz",41678,41677
"S3CONR2T2_S48_L001_R1_001.fastq.gz",45939,45937
"S3CONR2T3_S59_L001_R1_001.fastq.gz",57230,57229
"S3CONR2T4_S114_L001_R1_001.fastq.gz",57262,57261
"S3CONR3T1_S7_L001_R1_001.fastq.gz",37300,37299
"S3CONR3T2_S32_L001_R1_001.fastq.gz",8640,8640
"S3CONR3T3_S79_L001_R1_001.fastq.gz",15038,15038
"S3CONR3T4_S80_L001_R1_001.fastq.gz",64552,64550
"S3R1_S98_L001_R1_001.fastq.gz",232,232
"S3R2_S99_L001_R1_001.fastq.gz",278,278
"S3R3_S100_L001_R1_001.fastq.gz",232,232
"S3TAR1T1_S19_L001_R1_001.fastq.gz",48345,48344
"S3TAR1T2_S36_L001_R1_001.fastq.gz",38757,38756
"S3TAR1T3_S158_L001_R1_001.fastq.gz",71561,71561
"S3TAR1T4_S117_L001_R1_001.fastq.gz",65352,65351
"S3TAR2T1_S144_L001_R1_001.fastq.gz",29594,29594
"S3TAR2T2_S169_L001_R1_001.fastq.gz",55891,55890
"S3TAR2T3_S33_L001_R1_001.fastq.gz",35962,35959
"S3TAR2T4_S188_L001_R1_001.fastq.gz",71568,71566
"S3TAR3T1_S183_L001_R1_001.fastq.gz",71215,71215
"S3TAR3T2_S68_L001_R1_001.fastq.gz",53501,53500
"S3TAR3T3_S52_L001_R1_001.fastq.gz",61921,61913
"S3TAR3T4_S149_L001_R1_001.fastq.gz",46249,46243
"S3TPR1T1_S83_L001_R1_001.fastq.gz",17631,17631
"S3TPR1T2_S63_L001_R1_001.fastq.gz",45263,45263
"S3TPR1T4_S180_L001_R1_001.fastq.gz",55682,55679
"S3TPR2T1_S147_L001_R1_001.fastq.gz",59246,59237
"S3TPR2T2_S45_L001_R1_001.fastq.gz",41157,41156
"S3TPR2T3_S174_L001_R1_001.fastq.gz",62600,62599
"S3TPR2T4_S134_L001_R1_001.fastq.gz",59675,59672
"S3TPR3T1_S152_L001_R1_001.fastq.gz",38852,38847
"S3TPR3T2_S185_L001_R1_001.fastq.gz",49770,49770
"S3TPR3T3_S51_L001_R1_001.fastq.gz",35446,35439
"S3TPR3T4_S5_L001_R1_001.fastq.gz",58058,58052
"S3TR1T3_S76_L001_R1_001.fastq.gz",43527,43525
"S4CONR1T1_S160_L001_R1_001.fastq.gz",50170,50170
"S4CONR1T2_S24_L001_R1_001.fastq.gz",59409,59407
"S4CONR1T3_S146_L001_R1_001.fastq.gz",51820,51813
"S4CONR1T4_S122_L001_R1_001.fastq.gz",9284,9284
"S4CONR2T1_S42_L001_R1_001.fastq.gz",40178,40176
"S4CONR2T2_S41_L001_R1_001.fastq.gz",43093,43091
"S4CONR2T3_S156_L001_R1_001.fastq.gz",45794,45794
"S4CONR2T4_S131_L001_R1_001.fastq.gz",83081,83081
"S4CONR3T1_S87_L001_R1_001.fastq.gz",59353,59352
"S4CONR3T2_S17_L001_R1_001.fastq.gz",60980,60977
"S4CONR3T3_S66_L001_R1_001.fastq.gz",44029,44028
"S4CONR3T4_S155_L001_R1_001.fastq.gz",71128,71125
"S4R1_S101_L001_R1_001.fastq.gz",60302,60302
"S4R2_S102_L001_R1_001.fastq.gz",58940,58939
"S4R3_S103_L001_R1_001.fastq.gz",57091,57087
"S4R3TAT2_S56_L001_R1_001.fastq.gz",63941,63934
"S4TAR2AT2_S187_L001_R1_001.fastq.gz",17836,17836
"S4TAR2AT3_S26_L001_R1_001.fastq.gz",73887,73883
"S4TAR2AT4_S173_L001_R1_001.fastq.gz",57328,57327
"S4TAR2BT2_S88_L001_R1_001.fastq.gz",68881,68879
"S4TAR2BT3_S38_L001_R1_001.fastq.gz",42729,42727
"S4TAR2BT4_S181_L001_R1_001.fastq.gz",76310,76307
"S4TAR2T1_S128_L001_R1_001.fastq.gz",36273,36272
"S4TAR3T1_S136_L001_R1_001.fastq.gz",17174,17174
"S4TAR3T3_S116_L001_R1_001.fastq.gz",51878,51875
"S4TAR3T4_S140_L001_R1_001.fastq.gz",42377,42377
"S4TPR1T1_S90_L001_R1_001.fastq.gz",54323,54321
"S4TPR1T2_S4_L001_R1_001.fastq.gz",28701,28701
"S4TPR1T3_S91_L001_R1_001.fastq.gz",40788,40786
"S4TPR1T4_S78_L001_R1_001.fastq.gz",40564,40561
"S4TPR2T1_S168_L001_R1_001.fastq.gz",43418,43416
"S4TPR2T2_S69_L001_R1_001.fastq.gz",50860,50859
"S4TPR2T3_S28_L001_R1_001.fastq.gz",40365,40365
"S4TPR2T4_S124_L001_R1_001.fastq.gz",48485,48482
"S4TPR3T1_S21_L001_R1_001.fastq.gz",17076,17076
"S4TPR3T2_S35_L001_R1_001.fastq.gz",31731,31730
"S4TPR3T3_S123_L001_R1_001.fastq.gz",60328,60328
"S4TPR3T4_S109_L001_R1_001.fastq.gz",50062,50061
"S6CONR1T1_S191_L001_R1_001.fastq.gz",191,191
"S6CONR1T2_S22_L001_R1_001.fastq.gz",48769,48768
"S6CONR1T3_S62_L001_R1_001.fastq.gz",43611,43610
"S6CONR1T4_S130_L001_R1_001.fastq.gz",40530,40529
"S6CONR2T1_S54_L001_R1_001.fastq.gz",166,166
"S6CONR2T2_S89_L001_R1_001.fastq.gz",57973,57972
"S6CONR2T3_S31_L001_R1_001.fastq.gz",72107,72106
"S6CONR2T4_S178_L001_R1_001.fastq.gz",63344,63340
"S6CONR3T1_S143_L001_R1_001.fastq.gz",205,205
"S6CONR3T2_S61_L001_R1_001.fastq.gz",1461,1461
"S6CONR3T3_S43_L001_R1_001.fastq.gz",34517,34514
"S6CONR3T4_S132_L001_R1_001.fastq.gz",248,248
"S6R1_S104_L001_R1_001.fastq.gz",202,202
"S6R2_S210_L001_R1_001.fastq.gz",90,90
"S6R3_S216_L001_R1_001.fastq.gz",78,78
"S6R3TAT4_S148_L001_R1_001.fastq.gz",51771,51760
